level_0,index,id,text,time,labels
2590,618,498235547685756928,Black teenage boys are not men . They are children . Stop referring to a 17 year old as a man . You are killing children . #ferguson,2014-08-09 22:33:06,0
2179,207,498248415223246848,The mother of the boy killed in #Ferguson speaking to media about the loss of her son . HTTPURL,2014-08-09 23:24:13,0
4966,2994,498248648699150336,Police have brought out the large gear in #Ferguson . HTTPURL,2014-08-09 23:25:09,0
5781,3809,498250100079341568,"Omg Wow "" @USER : WOW RT @USER : Police have brought out the large gear in #Ferguson . HTTPURL """,2014-08-09 23:30:55,0
4345,2373,498251940997136384,"When you see citizens as enemies ... RT @USER : Police have brought out the large gear in #Ferguson . HTTPURL """,2014-08-09 23:38:14,0
3408,1436,498253149707464704,Police of #Ferguson murdered a boy in cold blood . Now they 're spinning the story & intimidating the community into silence .,2014-08-09 23:43:02,0
5002,3030,498253652755111937,Here 's to hoping what 's happening in STL right now does n't get worse . #Ferguson hashtag not looking good right now . HTTPURL,2014-08-09 23:45:02,0
1707,1707,498254340310966273,"Michael Brown is the 17 yr old boy who was shot 10x & killed by police in #Ferguson today . Media reports "" police shoot man "" . #blackboysonly",2014-08-09 23:47:46,1
3108,1136,498254540870017025,"When you are black & the victim of a crime , people will dig up something you did in kindergarten to justify what happened to you . #Ferguson",2014-08-09 23:48:34,0
967,967,498254929942028288,17 year old unarmed kid shot ten times by police for stealing candy . I did n't know that was punishable by death . ( read the #ferguson tag ),2014-08-09 23:50:07,1
3212,1240,498255721260400640,Patrol cars still flood the streets in #ferguson more than 6 hours after police officer shot teenager @USER HTTPURL,2014-08-09 23:53:15,0
3918,1946,498255816034893824,"America does n't think we 're human , the world does n't think we 're human , and cops do n't get punished for killing us for no reason . #ferguson",2014-08-09 23:53:38,0
4010,2038,498256407980826625,"Another day , another shooting of an unarmed black teenager in America by authority figures . #STL #Ferguson",2014-08-09 23:55:59,0
3443,1471,498259432237969408,People are now matching to the #Ferguson Police Dept headquarters . HTTPURL,2014-08-10 00:08:00,0
4802,2830,498259903962570752,Being Black in this country is dangerous business . #Ferguson,2014-08-10 00:09:52,0
2068,96,498262106937237504,People marching to the #Ferguson Police Dept headquarters following the killing of a 17 - year-old boy . HTTPURL,2014-08-10 00:18:38,0
3930,1958,498263598062661633,Many police officers today operate from fear and prejudice . That 's dangerous when you have the power to take a life . #Ferguson,2014-08-10 00:24:33,0
3143,1171,498264107460870144,"The #Ferguson shooting shows that being passive leads 2 more injustice . If a Black cop shot an unarmed white teen , Ferguson would be on fire",2014-08-10 00:26:35,0
2221,249,498264393185239040,"Police are n't being taught to protect and serve anymore . They are being taught to shoot first , explain later . #ferguson",2014-08-10 00:27:43,0
2429,457,498265095559184384,"Yes @USER describe people protesting police officer killing Michael Brown as "" mob "" . Then , edit , "" crowd "" #ferguson HTTPURL",2014-08-10 00:30:30,0
4939,2967,498265555833720832,"#WeAreTargets : People marching to the #Ferguson Police Dept headquarters following the killing of a 17 - year-old boy HTTPURL """,2014-08-10 00:32:20,0
5092,3120,498267196833808384,"This is not a "" black "" loss . This is a loss for America , and everyone should be concerned , outraged & involved . #Ferguson",2014-08-10 00:38:51,0
2818,846,498267673789472768,"If Michael Brown had been white , @USER would have described crowd not as a "" mob "" , but as a ' heartbroken community ' . #Ferguson",2014-08-10 00:40:45,0
3985,2013,498268463639851008,calling the neighbors a mob = dehumanizing a community to justify all future wrongdoing . #mikebrown #ferguson,2014-08-10 00:43:53,0
3181,1209,498269289812856832,call weeping neighbors a mob --> paint a picture of a violent community #MikeBrown came from --> justify his execution #Ferguson,2014-08-10 00:47:10,0
4657,2685,498269365175721984,"So would that "" angry mob "" in #Ferguson also qualify as "" concerned citizens "" ? What 's the difference , skin color ? #justice4all",2014-08-10 00:47:28,0
4559,2587,498269636551798784,"Unfollow me NOW if you 're like "" Why was he running ? "" or tweeting ANY justification 4 the murder of #MikeBrown by #Ferguson cops .",2014-08-10 00:48:33,0
2039,67,498269697453084672,"PAY ATTENTION as "" teen "" becomes "" man , "" "" community "" becomes "" mob , "" and "" murder "" becomes "" alleged shooting . "" #Ferguson #medialiteracy",2014-08-10 00:48:47,0
2931,959,498271531386953728,"Reminder that this is legal , but young unarmed black men are threatening and make us "" uncomfortable "" #Ferguson HTTPURL",2014-08-10 00:56:05,0
3368,1396,498271954185379840,Interview with mother of victim . The police would n't let her ID her own son HTTPURL #Ferguson,2014-08-10 00:57:45,0
2666,694,498272080564334592,Police murder another unarmed 17 yr old blk kid & police show up like this . I can't take it ! #Ferguson #WeAreTargets HTTPURL,2014-08-10 00:58:16,0
561,561,498272309535191041,200 cops in riot gear in #ferguson because there is a prayer circle and a concerned compassionate community,2014-08-10 00:59:10,1
2006,34,498272364560257025,"To all white ppl horrified by #Ferguson : go to police , school board , & mayor and teach how anti-blackness kills . They do n't listen to us .",2014-08-10 00:59:23,0
3056,1084,498273703428620289,"The mother of #MikeBrown , the 17 - year-old killed by #Ferguson police today , says her son was about to start at Vatterott College next week .",2014-08-10 01:04:43,0
5675,3703,498274493337702401,: Teenager #MikeBrown wo n't start college on Monday because he was shot ten times by a #Ferguson police officer . HTTPURL ”,2014-08-10 01:07:51,0
3287,1315,498274692873351170,How many unarmed black teenagers will be killed in America ? #ThatIsTheQuestion #Ferguson HTTPURL,2014-08-10 01:08:38,0
3195,1223,498274934553317376,""" The 18 year old victim had no weapon and his hands in the air and was still shot multiple times . "" HTTPURL #Ferguson",2014-08-10 01:09:36,0
3112,1140,498274948772024321,Mike Brown was to start studying at Vatterott College on Monday . #Ferguson,2014-08-10 01:09:39,0
5347,3375,498275621651636224,"Notice it 's "" involved in the shooting "" not "" killed a child . "" Notice it 's "" paid administrative leave "" not "" has been arrested "" #Ferguson",2014-08-10 01:12:20,0
3252,1280,498276304635322368,The police officer who killed Mike Brown has been put on paid administrative leave . #Ferguson,2014-08-10 01:15:03,0
3451,1479,498276354434277376,Michael Brown was due to begin classes at Vatterott College tomorrow.His mother mourns his loss : #Ferguson HTTPURL,2014-08-10 01:15:15,0
2471,499,498276771226451968,"Multiple witnesses have told the media in #Ferguson , that Mike Brown had his hands up when he was shot "" multiple "" times by police officer .",2014-08-10 01:16:54,0
3627,1655,498277197581664256,"Black bodies are no longer swinging from trees , they are laying on the streets . #Ferguson #detriot #oakland #nyc #usa",2014-08-10 01:18:36,0
5281,3309,498277231253127168,Michael Brown was supposed to start classes at Vatterott College on Monday . Instead gunned down in street by #Ferguson police .,2014-08-10 01:18:44,0
5183,3211,498277674692149248,"Favorite this now : In the next week , we will hear about EVERY transgression #MikeBrown has ever had since soiling his diapers . #Ferguson",2014-08-10 01:20:29,0
2280,308,498277678706077696,Teenager #MikeBrown wo n't start college on Monday because he was shot ten times by a #Ferguson police officer . HTTPURL,2014-08-10 01:20:30,0
5345,3373,498278882244853760,People are gathering at the site where #Ferguson police killed 17 - year-old #MikeBrown . Police have swarmed the area . HTTPURL,2014-08-10 01:25:17,0
5383,3411,498279420885360641,The police presence in #Ferguson following the shooting of Michael Brown was mind blowing . HTTPURL,2014-08-10 01:27:26,0
2592,620,498280074941313024,Rose petals and candles have been placed in the street where #MikeBrown 's body laid . #Ferguson HTTPURL,2014-08-10 01:30:02,0
