inex,id,text,label
1,615689290706595840,.@whitehouse in rainbow colors for #scotusmarriage? here's what i think about that decision: URL,1
5,614467824313106432,god put a rainbow over the white house 🌈 URL,1
12,553589051044151296,several hostages freed at jewish supermarket in paris. photo thomas samson #afp URL,1
13,553590835850514433,"hostage-taker in supermarket siege killed, reports say. #parisattacks URL URL",1
16,616311563071434753,apologies if you've already seen a crow riding a bald eagle today. image: phoo chan story: URL URL,1
18,525060425184858112,"the canadian soldier killed in today's ottawa shooting is cpl. nathan cirillo, a family source told cnn. live blog: URL",1
20,544382892378714113,five hostages escape sydney cafe siege — live updates from @buzzfeedoz URL URL,1
26,553588178687655936,reports: #charliehebdo suspects killed URL,1
32,524966904885428226,breaking update: canadian soldier injured at parliament hill shooting dies URL #ottawa,1
34,544374511194632192,update: total of 5 people have been able to get out of sydney cafe during hostage situation: URL URL,1
43,524935485370929152,shooting in canadian parliament comes day after isis-inspired radical drove in2 canadian soldier. also reports of shooting at war memorial/1,1
47,553535829017370625,#breaking - at least five hostages in paris kosher supermarket: (afp) URL #vincennes URL,1
52,553543369604210689,an 11-month old baby is among the hostages at the kosher supermarket in paris. unbearably sad. URL,1
54,649985459389661184,an openly gay man said that he and his partner met with pope francis a day before kim davis did URL,1
55,553531413459660800,update - afp says gunman who has taken a hostage at kosher supermarket in paris believed to be suspect in killing of policewoman on thursday,1
58,614604054552018944,the @whitehouse is rainbow-colored tonight in celebration of scotus same-sex marriage ruling. URL URL,1
63,544314234541469696,uber intros surge pricing in downtown sydney during hostage siege URL URL,1
66,553534838880608256,#breaking gunman in policewoman killing suspected in new paris hostage-taking: source,1
68,544512108885725184,paramedics are currently carrying out a number of hostages in #martinpl. #sydneysiege #9news,1
69,552805488631758849,"at least 12 killed in today's attack on satirical magazine #charliehebdo in paris, official says. URL",1
71,614608936491188225,white house lit in rainbow colors after gay marriage ruling URL URL,1
78,674263945172119552,1.15 million americans have been killed by guns since john lennon's death URL URL,1
80,544511199702822913,police move in: police confirm live ammunition used in martin place #sydneysiege,1
83,553107921081749504,"two shot in paris, including traffic cop, as manhunt continues for #charliehebdo suspects URL URL",1
86,632377165477191680,trayvon martin at space camp in florida. #blacklivesmatter URL,1
99,544512676643500033,breaking @skybusiness: freed hostage borne high from #sydneysiege w/c.4 paramedic teams on the scene URL ( carsonscottli,1
102,544324444773433348,"uber says it has hiked prices in sydney to ""encourage more drivers to come online & pick up passengers."" URL #sydneysiege",1
107,524975705206304769,#nhl cancels tonight's game between #ottawa and #toronto due to today's shootings. senators were to host maple leafs.,1
110,614595181845839873,the white house is lit up rainbow. URL,1
118,544512664769396736,"breaking: police enter #lindt cafe, hostages flee URL #sydneysiege URL",1
132,614599619310407680,white house is aglow in the colors of the rainbow celebrating the supreme court's same-sex marriage decision. URL,1
141,614594667225571328,breaking: the @whitehouse is celebrating with us tonight lit up in rainbow colors. #lovewins URL,1
152,614610920782888960,there will be cool photos of the white house w rainbow colors tonight but hard to top this one by chuck kennedy. URL,1
159,544520042810200064,"#sydneysiege is over. 2 confirmed dead, #prayforsydney #prayforsydneyhostages #sydney #hostages",1
164,641972184412327937,alert! islam taught in tennessee schools URL #wakeupamerica #tcot #wethepeople #pjnet #ccot URL,1
169,544491151118860289,"sydney hostage-taker - man monis, 49 - originally from iran - self-styled sheikh - accused of sexually assaulting 7 women developing..",1
170,544515538383564801,"haron monis,hostage-taker in #sydney: fled #iran 96,suspect in ex-wife killing,46 sex assaults URL URL",1
174,614601139422633984,white house lit in rainbow colors following us supreme court ruling that same-sex couples have right to marry. URL,1
175,524931324763992064,very reliable source on parliament hill tells me the assailant has been killed. #cdnpoli #ottnews,1
187,544301453717041152,breaking update: gunman says four devices are located around sydney. security response underway. police calling for calm. 9news,1
195,525068915068923904,***exclusive*** michael zahaf-bibeau caught on a #dashcam model sold at URL #ottawashooting URL,1
197,544504183341064192,"escaped #sydneysiege hostage, elly chen, a top student and skilled sportswoman URL URL",1
198,553476490315431937,police convoy and helicopters are rushing to scene to detain charlie hebdo massacre suspects URL URL,1
204,553587013409325058,#breaking charlie hebdo gunmen's hostage freed and safe after police assault,1
205,544513524438155264,"sydney siege: police enter cafe as hostages flee the scene, gunfire heard, reports of an injured person – live URL",1
211,614628865353351168,the white house takes on rainbow hues in celebrating #scotusmarriage decision: URL URL,1
213,544358564484378624,police: negotiators are now in contact with armed hostage-taker in sydney situation; motive remains unknown - URL,1
221,544278985249550337,geoblock lifted on #abcnews24. streaming coverage of the martin place siege in sydney here URL,1
222,544367462012432384,"more: police confirm 3 hostages escape sydney cafe, unknown number remain inside URL #sydneysiege",1
225,614645853291155457,"as sun goes down, white house lights up rainbow colors to celebrate scotus ruling: URL URL",1
229,552791196247269378,"breaking: at least 10 killed in shooting at french satirical newspaper charlie hebdo, paris prosecutor's office says. URL",1
230,524943490887991296,"confirmed | 1 shooter shot dead at parliament hill, but there is more than 1 suspect. #cbcott #ottnews",1
235,544391533240516608,five hostages have escaped the besieged lindt cafe in #sydney | our latest update: URL URL,1
237,525025279803424768,the soldier shot dead in wednesday's ottawa attacks has been named as cpl. nathan cirillo of #hamont #ottawashooting URL,1
242,553544694765215745,french police publishes photos of suspect in yesterday's montrouge shooting. maybe the same persons in kosher market URL,1
246,614626710248534016,these colors celebrate a new chapter in the history of american civil rights. #lovewins URL URL,1
249,649903655160815616,vatican says #kimdavis' meeting w/ #popefrancis 'should not be considered a form of support.' URL URL,1
255,614494170590367744,theres' a double rainbow over the white house URL,1
265,525056576038518785,soldier killed in canada shooting was a young reservist with a six-year-old son URL URL,1
271,614618682543616000,white house shines rainbow-colored lights in honor of #scotus gay marriage decision #lovewins URL URL,1
277,524926235030589440,breaking news: at least 3 shots fired at ottawa war memorial. one soldier confirmed shot - URL URL,1
279,544380742076088320,"this is shot that captures the #sydneysiege: sheer terror/relief of escaped hostages, incredible work of @nswpolice URL",1
280,614605997953404929,white house lit in rainbow colors after high court's gay marriage ruling (with photo) URL,1
292,544271284796784640,"developing: gunman takes hostages in sydney cafe, 'isis' flags being held against window - URL URL",1
301,524962142563610625,#breaking rick hughes at cbc hamilton: the soldier who was shot in ottawa wednesday morning is a reservist serving in hamilton,1
306,614594195479752704,white house lit in rainbow colors after today's historic supreme court ruling #scotusmarriage URL,1
308,614593989203886080,the @whitehouse is lit up like a rainbow! #lovewins URL,1
313,681147789653356544,katy perry -- makes holiday wish come true for burn victim URL,1
315,544476808566276097,tv channels have chosen not to show videos of hostages relaying #sydneysiege gunman's demands. URL URL,1
320,524952883343925249,watch video showing gunfire inside canada's parliament in ottawa URL URL,1
340,553508098825261056,police have surrounded this building where the suspected #charliehebdo attackers are holed-up URL URL,1
342,614628136634949632,the @whitehouse is lit up in a rainbow #lovewins URL,1
343,580324027715063808,"just in: germanwings plane crashes in southern france, up to 150 feared dead URL",1
351,524941132237910016,here's that dramatic video via @josh_wingrove of shots fired inside parliament building: URL #ottawa #shooting,1
354,544283772569788416,live updates: siege in sydney cafe URL,1
361,615494435074363392,"if they can light up the white house like a rainbow for gay pride, it sure as hell better be red, white & blue for independence day. merica.",1
364,676367888543031296,"north carolina town rejects solar panels for sucking ""up all the energy from the sun.” URL URL",1
366,642465192408940544,#wakeupamerica heads need to roll! school forcing non-muslims to praise islam URL #bansharia URL,1
374,553590459688570880,several hostages freed at jewish supermarket in paris. photo thomas samson #afp URL,1
375,525058976376193024,our thoughts and prayers go out to nathan cirillo who died today in ottawa while protecting his country at age 24 URL,1
382,553476880339599360,"developing: police pursuing #charliehebdo shooting suspects, helicopters deployed - live feed: URL URL",1
387,500378223977721856,"oh. so now the #ferguson police chief says the cop didn't know about the robbery when he stopped #mikebrown. the kid was ""jaywalking""? bs!",1
393,544319832486064128,"hostage situation erupts in sydney cafe, australian prime minister says it may be ""politically motivated"" URL",1
399,553512735192141826,update - afp: an unnamed police source says the killing of the policewoman in #paris on thursday is linked to the #charliehebdo attack,1
400,544517264054423552,#breaking: police have confirmed that the #sydneysiege is over. #9news,1
407,641082932740947972,"judy carne, ‘sock it to me girl’ on ‘laugh-in,’ dies at 76 URL",1
414,498430783699554305,witness: police allegedly stopped mike brown after yelling at him to walk on sidewalk. #ferguson URL,1
425,623599854661541888,obama; - hours to light up white house in rainbow colors for gay marriage. - 5 days to lower flag for dead marines. URL,1
436,614607711368519680,photo: white house lit in rainbow colors after high court's gay marriage ruling URL URL,1
449,614671961801785344,the white house is glowing with pride URL | ap photo URL,1
450,675490515748425728,america's first muslim female judge; carolyn walker-diallo. URL,1
453,552984502063337472,#update three men including two brothers identified in france newspaper attack: source URL #jesuischarlie #charliehebdo,1
454,650128194209730561,an openly gay man said that he and his partner met with pope francis a day before kim davis did URL,1
461,524995771587108864,this afternoon we've lowered our flags to half mast in honour of the canadian reservist who lost his life in ottawa. URL,1
471,552832817089236992,stills from eyewitness video show two #charliehebdo attackers wearing hoods & black clothing shoot a wounded man URL,1
472,544291965513134080,"according to seven, this is a picture of the gunman URL",1
476,649881917534433280,"pope francis’ meeting wasn’t an endorsement of kim davis, vatican says URL",1
487,628319096606732290,whole foods' $6 asparagus water is just water with three stalks of asparagus in it URL URL,1
488,524936872666353664,more shots fired just off parliament hill. police telling everyone to take cover.,1
496,544289409294553088,full statement from pm abbott on #sydneysiege #martinplace #lindt. URL,1
500,553587303172833280,police taking people out of #paris grocery where hostages were being held. URL,1
502,544381485591982083,reports on @channeltennews #sydneysiege gunman wants #isil flag delivered to cafe and he also wants to speak to pm or people will be killed.,1
505,614638036593299456,"this is how the white house celebrated what obama called ""a victory for america."" #lovewins URL URL",1
506,553587672137334785,afp: suspected #charliehebdo gunmen have been killed,1
507,552811386259386370,at least 12 dead in the paris shooting. updated story and background info: URL #charliehebdo URL,1
516,524923676484177920,breaking - shooting on parliament hill. rcmp have weapons drawn #cdnpoli URL,1
521,544277117039837184,flag in window of sydney lindt cafe not an isis flag. reads: ‘there is no god but allah and muhammad is the messenger of god’ (@liztilley84),1
523,544358533819420672,breaking: three hostages appear to have escaped the sydney cafe where a siege remains ongoing. URL #sydneyseige,1
527,524965775036387329,"hero. @affanchowdhry: kevin vickers, head of security in parliament, being credited for taking down shooter #ottawa URL """,1
529,525025463648137216,breaking: a source confirms to cp24 that the deceased soldier in ottawa is cpl. nathan cirillo. cirillo was a member of the hamilton argylls,1
535,614604580601597953,"watch live: as sun goes down, white house lights up rainbow colors to celebrate scotus ruling URL URL",1
541,544518335019229184,#breaking: at least two people have died following the #sydneysiege. 5 people are being treated by paramedics.,1
542,614624331717545984,live from the white house...in rainbow colors. hundreds of people...hundreds URL,1
543,615840865815298048,valerie jarrett organized white house rainbow lights URL URL,1
546,544274934835707905,several people being held hostage at a sydney cafe. australian tv showing people with hands up against a window: URL,1
550,614617234942656512,the white house tonight is illuminated in rainbow colors to honor and celebrate marriage equality. bravo! URL,1
553,544271362022338560,"black islamic flag being held up in window of #lindt chocolate store in martin place, sydney - hostages inside. URL",1
556,552793679082311680,"11 confirmed dead, francois hollande to visit scene of attack - latest from paris: URL URL",1
562,544319274072817664,"ray hadley says he spoke with hostage, and could hear the gunman in the background barking orders and demanding to go live on air",1
565,628681462976528384,"whole foods called out for selling $6 ""asparagus water,"" water with stalks of asparagus in it URL URL",1
567,650037735579910145,the vatican insists pope francis’ encounter with kim davis was not endorsement of her views URL URL,1
568,544289941996326912,prime minister tony abbott's statement on the #sydneysiege. updates: URL URL,1
569,649974380416618496,"vatican official says there is ""a sense of regret"" that pope francis met with kim davis: URL URL",1
575,616481759329427456,"just a crow riding an eagle, nbd. URL URL",1
577,552785375161499649,breaking: 10 reportedly shot dead at paris hq of french weekly charlie hebdo URL,1
591,524925215235911680,#breaking news: shots fired at parliament hill. follow developing story: URL URL,1
592,525028734991343617,ctv news confirms that canadian authorities have provided us authorities with the name michael zehaf-bibeau in connection to ottawa shooting,1
598,674358835675549696,1.15 million americans have been killed by guns since john lennon's death URL,1
600,616765822095261700,a crow tries to fight an eagle—gets a free ride instead: URL,1
602,614610364702044164,white house set aglow with rainbow pride URL | ap photo URL,1
604,524932935137628160,the gunman in ottawa has been shot and killed. i'm at a loss for words this morning. that isn't my canada.,1
605,640967537178472448,"judy carne, ""laugh-in’s"" ""sock it to me"" girl, dies at 76 URL URL",1
607,614595106906226688,the white house bathed in rainbow #scotusgaymarriage URL,1
610,525049639016615937,this is the soldier who died today at the #ottawa war memorial. his name is cpl. nathan cirillo. #rip #ottawastrong URL,1
614,614790312955904000,see the white house light up as a rainbow to celebrate gay marriage URL URL,1
617,544520273718812672,police confirm that #sydneysiege is finally over. two people reportedly injured after suffering gunshot wounds URL,1
619,544350712365207552,#breaking reports two customers and an employee have escaped the #sydneysiege URL,1
621,614702244001382400,white house set aglow with rainbow pride URL | ap photo URL,1
624,524925987239120897,soldier shot at national war memorial in ottawa URL #cdnpoli #hw,1
633,525019752507658240,"#isis media account posts picture claiming to be michael zehaf-bibeau, dead #ottawashooting suspect. #canada URL",1
637,614620298877513729,white house lit in rainbow colors following us supreme court ruling that same-sex couples have right to marry. URL,1
639,552791578893619200,eleven dead in shooting at paris offices of satirical magazine charlie hebdo – live updates URL,1
640,614599587362414592,white house lit in rainbow colors following us supreme court ruling that same-sex couples have right to marry. URL,1
643,649889459836710912,"breaking news: pope francis’ encounter with kim davis wasn’t an endorsement of her views, the vatican says. URL",1
646,524980744658382848,"#rcmp to hold news conference on #ottawa shootings at 2 pm et, 11 am pt. watch live coverage @ URL",1
648,544352727971954690,"local media: 3 people appear to escape from martin place, sydney, café, amid hostage situation - @abcnews URL",1
654,614594259900080128,"watch live: as sun goes down, white house lights up rainbow colors to celebrate scotus ruling URL URL",1
655,614614133410033664,the white house goes rainbow to celebrate supreme court marriage ruling URL URL,1
656,544278335455776769,"#breaking hostages held inside sydney cafe, islamic flag held up",1
660,651018580989972480,pope francis expected to fire the archbishop who tricked him into meeting kim davis URL,1
662,667073349974102017,anne frank was a refugee denied entrance to the united states URL #syrianrefugees URL,1
663,524922729485848576,only photo i will tweet. cpr being performed on the soldier now. i heard four shots. #ottawa URL,1
664,668849913678209024,that superman poster is legit: URL URL,1
670,524925050739490816,breaking news: soldier shot at national war memorial in ottawa URL,1
671,628336948810268673,whole foods tests the limits of yuppie diet fads with new $6 asparagus water - URL URL,1
677,552783667052167168,"france: 10 people dead after shooting at hq of satirical weekly newspaper #charliehebdo, according to witnesses URL",1
678,552834961762709505,paris manhunt: 3 #charliehebdo attackers with ak-47 rifles & reportedly rocket-propelled grenade still at large URL,1
682,553160652567498752,french police: said kouachi and cherif kouachi wanted in paris terror attack: URL URL,1
683,544268732046913536,#breaking: hostages are being held and a siege is taking place at sydney's lindt chocolat cafe in martin place.,1
686,544282005941530624,hostages in sydney cafe made to hold up islamic flags URL,1
687,614609560658161664,the white house is lit like a rainbow tonight in honor of the #scotusmarriage ruling. URL,1
688,580348081100734464,"#germanwings ""sorry to confirm"" 144 passengers & 6 crew on board flight #4u9525 when it crashed in french alps URL",1
690,553586860334010368,#charliehebdo killers shot dead by police,1
694,544291804057960448,first photos: hostage pressed against a window. #sydneysiege URL,1
698,628604055644934144,whole foods' selling asparagus water is a sign the end times are near URL URL,1
701,524942470472548352,"the university of ottawa, just a five minute walk from the hill, is now on lockdown.",1
702,552792544132997121,breaking charlie hebdo latest: 11 dead 10 wounded (five critical) two gunmen unaccounted for URL URL,1
704,544289311504355328,statement from prime minister tony abbott on sydney hostage situation. URL,1
705,614494460747997184,theres' a double rainbow over the white house URL,1
706,615592870540488704,"if they can light up the white house like a rainbow, it sure as hell better be red, white & blue for independence day.",1
713,614610102927147008,bro there's either a black president in a rainbow whitehouse or i'm having the best trip ever,1
714,614650850393391104,wow! what a way to end this historic day! URL #lovewins #loveislove #equalityforall #lgbt URL,1
715,614648099542204416,white house shines rainbow-colored lights in honor of #scotus gay marriage decision #lovewins URL URL,1
716,544514564407427072,"police seem relaxed, suggesting all hostages are out and gunman no longer a threat URL #sydneysiege",1
719,553566026030272512,"breaking: two hostage situations in france are linked, paris prosecutor says",1
724,614616994499788800,"there's a rainbow over the white house right now, just the same as when dublin had one the day ireland legalized URL",1
726,553506608203169792,"map shows industrial estate where 2 #charliehebdo suspects are holed up, surrounded by police URL URL",1
732,524959809402331137,senior u.s. official: canadian government has informed u.s. that one shooter is dead in ottawa. live blog: URL,1
738,623533663947517952,gay marriage ruling? white house in rainbow colors within hours. 4 murdered marines & a murdered sailor? 5 days to lower the flag. nice.,1
